,Newspaper,Date,Title,Text,Category,Page_number,Raw_article_length,Title_length,Month,Protest,Political_camp
167,Oriental Daily News,2019-02-12,法庭：巴裔男生涉非禮三女 事主：被告揸胸似揸泥,葵青區去年中接連發生街頭非禮，警方事後在區內拘捕一名疑涉案十七歲巴基斯坦裔男學生，指他涉嫌向三名夜歸女子捏胸，控以三項非禮罪。案件昨於西九龍法院開審時，三名女事主獲准在屏風後先後作供，均指疑犯迎面而來時出手大力揸或拍打她們的胸，其中一人更形容被揸胸時，對方的手勢及力度恍如「用手揸一舊好大嘅泥」。被告艾阿星被控三項非禮罪，昨出庭應訊。十七歲被告艾阿星，報稱學生，持有香港身份證。庭上透露，警方拘捕被告後，在他住所檢取到疑犯案時身穿的白色背心、黑長褲、藍毛巾等衣物，又取得事發現場附近的閉路電視片段作證物。警方亦曾安排三名事主進行認人手續，惟她們均未能認出疑犯。警員劉浩昇廿歲事主C供稱，她於去年六月廿五日晚行經葵涌業成街時，一名以藍色毛巾掩臉的男子跑步迎面而來，並用右手揸她右胸一下然後逃走。當控方要求C具體描述遭胸襲的動作及力度時，C形容該人「好似用手揸一舊泥土咁」，她隨即補充：「係好大舊嘅泥」。卅五歲事主D供稱，去年七月四日晚近十時行經葵涌石籬附近時，遭一名迎面半行半跑的疑似南亞裔男子，用力揸她右胸一下，但因對方用物品遮臉而未睹其容貌，只記得對方穿黑長褲、近似黃色的上衣。被告警誡下承認曾摸四女廿八歲事主E則供稱，去年七月四日晚十一時半行經石籬邨石榮樓外時，一名南亞裔男子迎面行經她身邊，拍了她的胸一下，當她回望時，對方也回頭笑。E曾追截對方並用手機拍下其背影，但未能追得上。她記得對方當晚頸圍毛巾，穿白色背心及黑色褲。而拘捕本案被告的警員劉浩昇供稱，去年七月六日他與三名同袍在石榮樓外，見被告形迹可疑，以本地話查問時，被告亦以本地話承認與案有關，劉遂拘捕被告，被告在警誡下表示：「係我做嘅，我一時貪玩，摸咗四個女仔。」（其中一個個案最終與今次審訊無關）。警否認曾威嚇或引誘招認辯方盤問時，質疑劉當時曾向被告說：「如果你認咗，我就會放你走，因為你未夠十八歲。」劉否認此事，但同意辯方所指，在施行警誡及讓被告在警員記事冊簽署作實時，被告父母並不在場。劉在庭上解釋，指被告超過十六歲，有關做法並無不妥，劉亦否認警員曾威嚇或引誘被告招認。辯方表明會反對將被告的警誡招認呈堂。案件今續。案件編號：WKCC 3031/2018,港聞,A10,912,23,2,0,Pro-Beijing
168,Sing Pao,2019-02-12,巴裔男生涉非禮揸胸如揸泥 警員供稱：被告認貪玩「摸咗幾個女仔」,葵涌石籬邨去年發生連環非禮案，17歲巴基斯坦裔學生涉於兩個晚上，接連非禮三名女子，分別向她們抓胸。他被控三項非禮罪，案件昨於西九龍裁判法院開審。有女事主形容被告抓胸力度似「揸泥，一舊好大嘅泥」。亦有事主見被告「非禮後」回頭對着她笑。拘捕被告的警員供稱，在警誡下被告表示：「係我做嘅，我一時貪玩，摸咗幾個女仔。」 本報法庭組報道被告艾阿星（Assad Ashfaq），17歲，穿校服受審，被控於去年6月26日及7月4日兩個晚上，在葵涌業成街及石籬街非禮三名女子C、D及E。案中受害人年齡介乎20至35歲，被告趁她們夜行歸家時，涉被摸胸非禮。C小姐供稱，去年6月26日晚上近11時，她在葵涌業成街行人天橋附近下車，步行回家時，一名用藍色毛巾遮住口鼻的男子迎面跑來，大力抓她胸部一下，她形容說：「好似用手揸一舊泥土咁，一舊好大嘅泥。」色魔繼續跑前。C追對方至陰暗的地方，見他邊跑邊轉頭望自己，似要引她去某一地方，遂停下腳步，其後報警。「鹹豬手」回頭對受害人笑D小姐供稱，去年7月4日晚上近10時，她在安蔭巴士總站下車，沿石籬街步行回家。她當時與男友通電話，一男子迎面慢跑過來，伸手大力「揸」她胸一下。她胸部感到痛楚，大受驚嚇，大叫一聲，定神後望向該男子，雖然對方有戴口罩，但從其眉目可辨出他疑是南亞裔人士。她回家後報警。D小姐遭非禮約個半小時後，再有人受辱。E小姐路過石籬邨石榮樓外時，有一名南亞裔男子走近她拍其胸一下，E回頭望時，對方也回頭向她笑。E 用手機拍下對方背影，並向警方展示照片。3名事主均在認人手續中未能認出被告。辯方質疑被告受威迫利誘警員劉浩昇供稱，去年7月6日他巡經石榮樓時看見被告身穿黑色長袖衣物，神情緊張、不時四處張望，外貌與數宗該區非禮案的通緝犯樣貌相符。遂上前截查及以廣東話查問。被告以廣東話稱「我知警察揾緊我」，在警誡下他稱「係我做嘅」、「我一時貪玩，摸咗4個女仔」（其中一宗非禮個案與本案無關）。辯方質疑被告在受威迫利誘下在警署作出以上招認，當時他被約10名警務人員包圍，父母又不在。劉否認曾威嚇或引誘被告作出招認，只同意在記事冊記錄被告的警誡說話時，被告的父母或監護人皆不在場。,法庭新聞,A07,902,31,2,0,Pro-Beijing
169,Sing Tao Daily,2019-02-12,涉「胸襲」三夜歸女 巴裔青年否認非禮,葵涌石籬邨去年發生連環非禮案，十七歲巴基斯坦裔男學生涉嫌去年六月至七月於石籬邨非禮多名女子，昨在西九龍法院否認三項非禮罪受審。三名受害女子出庭作供，不約而同地指出，遇事當晚獨自一人，被告故意跑近，之後用力揑了一邊乳房一下，便竊笑逃去。辯方懷疑警方曾威逼利誘涉案巴裔青年警誡下作供，但出庭警員否認。事主：如揸泥土般被告艾阿星（Assad Ashfaq，見圖右），三名受害人均是葵青區居民，年齡介乎二十至三十五歲。受害人C小姐供稱，去年六月二十二日晚單獨回家時，遇上迎面跑來的被告，之後遭被告單手揸右邊乳房，C形容被告猶如「揸泥土」一般。C指，當時環境雖幽暗，被告又以毛巾遮臉，但觀乎眼部輪廓，肯定對方是南亞裔男子。被告個多星期後重施故技，一日內在石籬邨分別胸襲單獨歸家的D和E。E曾嘗試與路人追捕被告但不果。E強調，被告曾向她回眸竊笑。辯方昨質疑被告在威逼利誘下招認，被告聲稱曾被約十名警員包圍，有警員更揚言：「你未過十八歲，只要你承認指控便可以離去。」出庭的警員劉浩昇對這些說法一一否認。劉憶述，被告遭截查後以廣東話稱「我知警察揾緊我」，更指調查中的數宗非禮案「係我做嘅」、「我一時貪玩，摸咗四個女仔」。案件編號：西九刑事三〇三一——二〇一八。記者 林欣樂,法庭,A10,528,18,2,0,Pro-Beijing
170,Wen Wei Po,2019-02-12,戇橋毛婆張超雄 唔肯傾偈被鬧爆,唔請反對派，班人又覺得自己不被重視；請佢，佢又話唔想「風花雪月」。唔少網民見到呢班食個飯都要斤斤計較嘅反對派議員，都忍唔住鬧爆佢哋連溝通都拒絕，到底點樣為市民做有建設性嘅事。有網民亦話如果話「風花雪月」就唔去，呢班議員真係千祈唔好再去任何宴會𠻹啊。反對派班人為咗要做騷話唔去中聯辦個團拜活動，不惜抬出一堆懶晒高大上嘅理由，好似公民黨個戇橋（楊岳橋）就話「風花雪月冇意義」；工黨「假難民之父」張超雄就話冇必要去同中聯辦「嘻嘻哈哈」；「民主派會議」召集人毛婆（毛孟靜）仲誇張，話入中聯辦係「罪名」𠻹。「政治需要埋枱講數」佢哋咁都講得出，雖然有佢哋自己嗰班支持者撐場，但好多網民都唔受呢一套，認為始終都要有溝通。「Sze Hung Chan」話︰「政治有時好現實，要埋台（枱）傾偈講數，不溝通，會有作為？與其坐以待斃，倒不如用其他溝通的方法，找出一個雙方都認同的價值觀點，凡事都反對，事事都有陰謀論，此等政黨難有長久的發展。」「Kwok Yiu Leung」亦表示︰「他們真是作繭自縛嘅低級政棍，選他們的市民真要想想，這樣如此沒有政治能力，連溝通都懶得做的人，如何為你們做點有建設性嘅事。」更多網民似乎覺得同反對派講道理都嘥氣，寧願花式寸吓佢哋。先睇下針對戇橋嘅留言。「Ng Alex」話︰「所有宴會、團拜都是風花雪月，楊生千萬不要去任何宴會。」「Fong Kwun Shing」反問︰「咁去英美屈香港無自由又成日去？」「Joyce Chan」就話︰「市民都看不到公民黨對香港市民真正福址（祉）有什麼誠意！」「Janny Chan」就針對毛婆嘅「入中聯辦係一種罪名」話︰「你已經係一個罪人啦。」「Alex Wu」指出︰「民主黨又不是沒入過。」「Judy Ho」附和毛婆︰「冇講錯呀！點同老細（闆）交代。」「James Poon」講得再白啲︰「是的，金主講明輕則扣人工，重則炒尤（魷）！」張超雄都有份，唔少網民都順住佢句唔同中聯辦「嘻嘻哈哈」去寸佢，最經典嘅係「Joseph Li」嘅留言︰「對！對！張超雄只需要跟假難民嘻嘻哈哈就夠了！」仲有啲對成個反對派嘅無差別批評。「Mei Wong」就諗起上次佢哋約唔到特首林鄭月娥就嘈單嘢話︰「唔請佢地（哋）又話打壓睇底（低）『泛民』，請又牙（阿）支呀（阿）左，又驚有入冇出，好心喇。」「Azh Deng」就質疑班人幾時變到咁嚴肅︰「咁係（喺）好實務又嚴謹的立法會大會上所見到的語無論（倫）次，大吵大鬧，或其他亂象又如何理解？！」「Gunboon Tsoi」亦話︰「乜『泛民』有認真和中央官員傾談過咩？每次都係舉吓牌，叫幾句口號，就集體撇咗！」 ■香港文匯報記者 甘瑜,文匯要聞,A02,1101,15,2,0,Pro-Beijing
171,Oriental Daily News,2019-02-14,南亞雙賊搶提款男千元,【本報訊】南亞兵團犯案無日無之，搶提款男現金逃遁！昨日清晨五時許，一名姓陳（五十五歲）男子，在灣仔軒尼詩道與盧押道交界的滙豐銀行理財中心提款，當事主取錢後步出門外之際，兩名南亞漢突然衝出，一手擸去事主手上一千港元現金，賊人得手後，隨即登上一輛的士逃去無蹤，事主未有受傷，驚魂甫定後報警求助。警方在附近兜截，惜無發現。經初步調查後，警方將案件列作搶劫，交由灣仔警區刑事調查隊跟進，正追緝兩名身高約一點七米的南亞匪歸案。警方到場調查。（李國健攝）南亞兵團/假難民近年犯案事件簿,港聞,A12,236,10,2,0,Pro-Beijing
172,Sing Tao Daily,2019-02-14,撳機漢遭兩南亞匪搶走千元,灣仔街頭昨凌晨先後發生兩宗搶劫案，其中一名男事主在銀行櫃員機提款後，遭兩名南亞裔匪徒搶走一千元現金；另一名男子在巴士站候車時，遭兩名大漢拳打腳踢，掠去內有二千元現金銀包。兩匪得手乘的士逃遁昨清晨五時三十分，五十五歲姓陳事主在灣仔軒尼詩道與盧押道交界一銀行理財中心提款後離開，甫步出銀行時，兩名南亞裔匪徒即一擁而上，搶走其手上一千元現款，兩匪得手後登乘的士逃去，陳驚魂稍定報警，警方刻下根據事主描述，追緝兩名年約三十至四十歲南亞裔搶匪歸案。候巴士男被兩漢毆劫另外，二十五歲姓林男子，昨凌晨二時十五分，在灣仔堅拿道西一巴士站候車時，遭兩名大漢拳打腳踢，繼而掠去其載有二千元現款及身分證銀包，兩匪得手後飛奔逃去，林負傷報警送院治理；警方到場後，曾在附近兜截，惟未有所獲，現正追緝兩名年約三十至三十四歲中國籍男子。,港聞,A06,353,12,2,0,Pro-Beijing
173,Apple Daily,2019-02-15,撞破劏房纏綿新歡狂斬赤裸情侶,【本報訊】屯門新墟發生桃色斬人案！一對越南情侶在情人節玉帛相見，豈料女方的一名同鄉新歡昨早找上門撞破好事，有人怒不可遏從廚房取來利刀，狂斬男女事主後逃去。男事主頭部及手中刀，僅穿內褲衝出大廈逃生，女事主下巴中刀，全身赤裸跑至大堂保安室求救。警方相信案件涉及感情糾紛，撿獲一把斷成兩截的染血利刀，正追緝兇徒歸案。受傷男女非法入境被斬傷男女均為越南人，同為36歲，屬男女朋友關係。警方發現兩人涉非法入境，將其拘捕，正調查他們的入境時間及途徑。兩人獲送院救治，其中男事主陷入昏迷，其後回復清醒，他們經搶救後無生命危險。據悉兩人在兩至三個月前經同鄉租住屯門新墟竹苑一樓一個劏房單位，單位一劏四約250呎，惟最近女事主結識一名男同鄉並墮入愛河。昨日情人節，新歡上門欲給予女事主一個意外驚喜，未料發現自己原來是「第三者」，一怒之下從廚房取來一把約12吋長的利刀，斬傷兩人後逃去。疑兇為一名年約30至40歲的越南籍男子，身高約1.75米，中等身材並蓄短髮。昨早9時許，警方接獲竹苑一名女保安員報案指有人受傷，故趕到現場。警員發現當時女事主全身赤裸，下巴有兩吋長刀傷，身處大廈大堂仍然清醒；而男事主則僅穿內褲，頭頂有刀傷，左右手臂分別有三吋長刀傷，昏迷倒卧在大廈對開10米外達仁坊的一處花槽，救護員隨即將兩人送院救治。事發時街坊張伯乘電梯落樓，他目睹「四圍都係血」，更看見男女傷者慘變血人。亦有街坊形容女傷者全身染紅，初時還以為她穿了紅色衣服，後來才知是全身披血。《蘋果》記者事後在現場所見，大廈的鐵閘、大堂、一樓及後樓梯等多處遍佈血迹，涉事單位至走廊沿路留下一條血路，而大廈近後門的牆身更有恐怖血掌印。據現場消息稱，男女事主被斬傷後負傷跑出單位，女傷者跑到樓下大堂保安室求救，而男傷者則疑經後樓梯跑落樓至後門奪門而出，其間不斷淌血，因而留下一條血路，最後不支倒卧在大廈外對開花槽。警員在涉事劏房內撿獲一把染血利刀，但刀片與刀柄斷開，單位內血迹斑斑。案件列傷人及拘捕非法入境者，由屯門警區重案組跟進。■記者簡明恩、張家,港聞,A07,851,14,2,0,Pro-democracy
174,Headline Daily,2019-02-15,情人節桃色血案 赤裸男女牀上捱斬,屯門發生桃色血案，一名越南漢闖入一劏房單位，發現女同鄉竟然赤祼與一名男子臥牀。疑因感情問題雙方發生爭執期間，越漢拿起利刀斬傷牀上男女。赤祼女傷者逃出單位至地下求救，僅穿內褲男傷者則負傷逃至大廈對開不支昏倒。警員到場時兇徒已逃去，兩傷者獲送院，無性命危險。受傷男女同為越南籍，情侶關係，均為三十六歲。警方表示，女傷者三個月前，透過友人租住青山公路新墟段七十九至九十五號竹苑一低層劏房單位，其後與男傷者同居。昨晨九時許，警方接報竹苑地下電梯大堂發現一名女子身受刀傷，大廈後門對出草地同時發現一名身受刀傷的男子。警員到場時，發現女傷者全身赤裸及披血，下顎有長約五厘米刀傷，仍然清醒；男傷者則昏迷，頭及雙臂有長約八厘米刀傷，救護員為兩傷者急救後送院，經搶救後兩傷者無性命危險。有街坊稱女傷者一度要求街坊不要報警。長刀斷成兩截由於有兩男女被斬傷及案發單位有大量血跡，警方一度以為兩傷者互斬，大批警員封鎖現場，探員到場，現場單位檢獲一把長約三十厘米已斷開兩截利刀，利刀染血，調查後證實兩傷者為越南籍情侶，以及同為非法入境。初步調查後，相信案發時女傷者的一名年約四十歲，蓄短髮及身高約一點八米的男同鄉到訪，發現女傷者與其男友赤祼躺臥牀上，雙方疑為感情問題爭執後，其間到訪男子激動以利刀斬傷兩事主後逃去。警方以涉嫌非法入境拘捕兩受傷男女，並交由屯門警區重案組跟進。,港聞,P30,574,16,2,0,Pro-Beijing
175,Metro Daily,2019-02-15,感情糾紛 越南裸情侶劏房被斬傷,一對非法入境的越南情侶，昨在屯門新墟一間劏房遭人斬傷，女傷者被發現時全身赤裸，下巴有刀傷；男傷者僅穿內褲，有多處刀傷。警方相信案件涉第三者感情糾紛，追緝兇徒下落。現場為屯門青山公路新墟段79-95號竹苑，警方昨早9時許接獲市民報案，指於上址大廈電梯大堂發現身受刀傷全身赤裸的女子，並於大廈後門對出草地發現身上有多處刀傷的男子。女傷者當時全身赤裸，下巴有約兩吋長刀傷，而男傷者頭頂、左右手臂則有三吋刀傷。兩名傷者送院救治後，並無生命危險，但兩人承認非法入境香港，事後被警方拘捕在醫院扣留調查。屯門警區重案組督察黃耀明指出，兩名傷者為越南籍，均為36歲，情侶關係，租住上址劏房已有兩至三個月，初步相信事件涉及感情糾紛。疑犯得悉為「第三者」施襲據悉，疑犯原欲到上址探望女朋友，始得悉自己為「第三者」，盛怒之下隨即揮刀斬傷二人。二人被斬傷逃生時，在大廈後樓梯留下大量血迹，而大廈牆身亦留有恐怖的血掌印，有目擊者稱，男傷者上身赤裸，僅身穿紅色內褲，手按後腦，身上有刀傷，猶如「全身畀人淋紅油咁」。警方於現場檢獲一把長26厘米的兇器利刀，刀身染血，刀柄則與刀身分離，相信兇徒於廚房取走後行兇。警方正通緝行兇的越南籍男子，身高約1.7至1.8米高，蓄短頭髮，年齡介乎35至40歲，為女傷者的男性朋友。,新聞,P10,543,15,2,0,Neutral
176,Ming Pao Daily News,2019-02-15,感情糾紛 越南人蛇情侶遭同鄉斬傷,【明報專訊】昨日情人節，屯門發生一宗涉三角關係的感情糾紛血案。一對居於屯門新墟劏房的越南籍「人蛇」情侶，遭女方一名男性友人持刀狂斬，女子下巴中刀，全身赤裸浴血大廈大堂，男方僅身穿內褲，倒臥大廈後門對開一個花圃內，二人經搶救後暫無生命危險。警方經調查後以涉嫌非法入境拘捕兩名傷者，並正追緝涉案男子。事發昨晨9 時12 分，一名女保安於屯門新墟青山公路新墟段79 至95 號竹苑報案，稱有一對男女受傷。警員接報到場，發現該男子倒臥於大廈對開一處花圃，臉、頸中刀，女子則頭、手受傷滿身鮮血，清醒呆坐大廈大堂內，救護員隨即把二人送院搶救。兩傷者赤祼 女曾着街坊勿報警目擊街坊稱，兩名傷者均為越南籍，當時男傷者上身赤裸，僅穿紅色內褲，身上滿佈血漬，手按着後腦位置從大廈後樓梯逃出，及後於對開10 米外一個花圃倒臥，女傷者則全身赤裸、滿臉浴血，呆坐大廈大堂保安崗，更向街坊示意不要報警。二人送院經搶救後沒有生命危險，惟男傷者需接受手術。據知，兩名傷者居於涉事大廈1 樓一劏房單位，記者登上涉案樓層了解，發現單位鐵閘滿佈鮮血，血漬沿後樓梯一直伸延至地下大堂及後樓梯位置，至後門大閘旁更留下血掌印，而2 樓至3 樓梯間亦同樣血漬斑斑，相信兩名傷者或一度向上逃走，及後再折返地下。檢刀柄刀鋒分離兇刀屯門警區重案組第2 隊接手調查，主管黃耀明表示，2 名傷者同為36 歲，情侶關係，為越南籍非法入境者，涉事單位約250 平方呎，被劏成4 個劏房單位，二人早前透過同鄉租住上址兩三個月。據了解，女傷者的一名越南籍男性朋友昨早曾到上址探訪，赫見二人赤裸相對，懷疑其間因感情問題發生爭執，該名友人於劏房的公共廚房取出一把約30 厘米長利刀向二人施襲，及後逃去。黃指出，女傷者被發現時全身赤裸，下巴有約2 吋長刀傷，而男傷者雙臂均有約3 吋長刀傷，頭亦有輕微刀傷，二人目前正在屯門醫院留醫，沒有生命危險。警方經調查後，相信案件涉及感情糾紛，以涉嫌非法入境拘捕2 名傷者，並正通緝一名約30 至40 歲、身高1.75 米、短髮、中等身材的越南籍男子。警方事後檢獲一把染滿血漬、刀柄與刀鋒分離的兇刀。受傷男子受傷越南籍男子頭部及雙臂有刀傷，昏迷送往屯門醫院治理。 （陳冬綾攝）,港聞,A04,922,16,2,0,Neutral
177,Oriental Daily News,2019-02-15,第三者怒斬越籍情侶披血逃命,與新相識女同鄉墮入愛河的越南漢，趁昨日情人節摸上屯門女友劏房家冀給意外驚喜，詎料卻見女友與另一男同鄉正「甜蜜溫馨」，追問後得悉自己為「第三者」，盛怒下擸刀狂劈，二人中刀奪門逃命，女方變血人赤裸走到大堂，男方僅穿內褲昏迷倒臥大廈對開花槽，越南漢逞兇後逃去，兩傷者治理後情況穩定。單位血漬斑斑，樓梯遺血路牆身留恐怖血掌印，警方檢獲染血斷刀，調查後相信事涉感情糾紛，兩事主涉嫌非法入境被捕，案件交重案組跟進，正追緝兇徒歸案。男傷者男傷者送院時昏迷。（何偉鴻攝）現場為青山公路新墟段七十九至九十五號竹苑，涉案單位面積約二百五十平方呎，間了四間劏房，兩名俱卅六歲的越南籍男女事主，去年杪經友人租住其中一間劏房。消息指，女方最近結識一名男同鄉，雙方旋即打得火熱。至昨日情人節，該男同鄉早上九時許，逕自摸上女方單位擬給對方驚喜，打算二人共度首個佳節。劏房遺血路 女事主赤裸奔跑落街據悉，該男同鄉甫入單位，赫見女方與另一越南漢卿卿我我，嚴辭質問下女方表示已有男友，始發覺原來自己為「第三者」。在驚覺感情受騙下，男同鄉憤然衝入廚房，擸來一把約卅厘米長利刀追斬兩人，男事主首當其衝，頭部及手部中刀，女事主下巴受傷，兩人鮮血淋漓，奪門沿樓梯跑落街逃生。其中女事主一絲不掛，跑落大廈大堂坐在一旁待援，男事主僅穿內褲跑至大廈地下後門，在對開達仁坊的花槽不支倒地，大廈保安員見狀報警。警員趕至封鎖大廈，在大堂發現下巴有兩吋刀傷的女事主，同時尋獲頭頂有刀傷，左右臂均有約三吋長傷痕的男事主。兩名傷者被送院搶救，期間男事主一度昏迷，經搶救後兩人情況穩定，兇徒逞兇後逃離現場。南亞兵團/假難民近年犯案事件簿現場所見，地上血漬斑斑，牆身有無數「血花」，大廈後門牆身留下恐怖血掌印，樓梯遍布一滴滴血漬，相信兩名傷者逃生時已成手血，只靠扶着牆身支撐身體沿樓梯走落樓逃命，致遺下一條長長血路。有目擊的鄰居夫婦稱，女事主全身染血，赤裸走落地下大堂，又耍手擰頭示意「唔好報警」，男事主則坐在大廈後門走廊，赤膊僅穿內褲。另有女街坊指出，女事主全身染紅，初時以為穿了紅衣，及後始驚悉她全身披血。揮刀越漢逃去 兩傷者涉非法入境警方在單位檢獲一把懷疑涉案的染血斷刀，經初步調查後，相信事件涉感情糾紛，而兩名傷者因未能出示有效身份證明文件，涉嫌非法入境被捕，案件列作傷人及拘捕非法入境者，交由屯門警區重案組跟進。探員在翻查大堂「天眼」錄影片段後，追緝一名身高約一點七五米、介乎卅至四十歲、蓄短髮、中等身材的越南籍男子。同時，警方將追查兩名傷者留港時間，以及他們進入香港的原因及方式。,港聞,A18,1063,13,2,0,Pro-Beijing
178,Oriental Daily News,2019-02-15,假難民禍港 屯門罪案劇增,【本報訊】南亞假難民擾亂治安，早已蔓延全港，屯門亦無法幸免，新墟村及井頭村一帶同樣有不少南亞裔及非洲裔人士居住，當中不乏假難民，有區議員謔稱這些地方已變成聯合國，居民直指南亞假難民令治安環境變差，出入要時刻小心提防，認為政府重設禁閉營，才能改善惡劣的情況。區議員促重開禁閉營屯門區議員古漢強表示，屯門區早已被南亞裔及非洲裔人士入侵，現時新墟村及井頭村一帶住了不少，當中包括有以免遣返聲請暫准留港，不少是假難民，族裔包括越南、巴基斯坦、印度及非洲，他們多租住劏房及板間房，令一些地方儼如小型聯合國，部分人「做啲唔三唔四嘅嘢」，好似鼠竊狗偷，導致爆竊案件都有增多。古漢強批評保安局，「成日話要維護人權，唔肯重開禁閉營，但我哋啲人權就冇晒」。因此，他要求重開禁閉營，「將嗰啲做壞事嘅假難民關起嚟」，相信屯門區刑事案件將大減。屯門居民黃生及黃太稱，已愈來愈多南亞裔人士在屯門居住，部分人為非作歹，令區內治安環境變差。他們出入亦要加倍小心，特別留意。另一名居民鄧生也指出，區內南亞裔人士飲酒後生事是一大毒瘤，經常醉酒打架。他見到醉酒南亞裔人士都會避之則吉，以免惹上麻煩。,港聞,A18,480,12,2,0,Pro-Beijing
179,Sing Pao,2019-02-15,涉感情糾紛 屯門租劏房離奇 越籍男女遊客疑被男同鄉斬,【本報港聞部報道】屯門昨天爆發情人節奇情血案，一對越南籍男女持旅遊證件入境，並租住一個劏房單位同居，據稱是情侶關係。一名相信是越南籍男子昨天上午登門探望，疑與該對男女因感情問題發生爭執，有人在單位內廚房取出利刀施襲，力度大至刀柄與刀身分離。案發時女子全裸，而男方則僅穿內褲，兩人分別身中多刀，滿身是血。疑兇逞凶後，逃去無蹤。據了解，兩名傷者事後對案情語焉不詳，加上旅客身份租住劏房頗離奇。兩人無性命危險，但不適宜錄取口供，加上需找越南語翻譯，案件謎團待解。據了解， 男傷者Mad VanQuan，而女傷者是Dao Thi Thu，均是36歲，同屬越南籍，持旅遊證件入境，據稱是情侶關係。案發地點是屯門新墟青山公路新墟段79-95號大廈「竹苑」，其中一個單位分成四個劏房，上述越籍男女居住在其中一個約250呎劏房，陣設跟普通家居一樣。案發時女子全裸 男穿內褲屯門重案組第二隊督察黃耀明昨天向傳媒簡布案情時指出，昨天上午9時15分接獲市民報案，指於上址電梯大堂發現身受刀傷女子，當時全身赤裸，下巴有約2吋長刀傷；在後門對出草地發現身受刀傷男子，其頭頂、左右手臂則有3吋刀傷。登門始悉是第三者 憤怒施襲現場消息稱， 曾有鄰居聽見案發時，越籍情侶單位有一名男子拍門，應門後，開始傳出激烈爭執聲，有鄰居打開門查看，看見女的已流血躺地，嚇得立即關上門。隔了一會，再開門，就看見一男子受傷流血，其後負傷走出大廈求助。大廈保安員報警。由於涉事人全操越南語，鄰居也不知爭執內容。不過，據初步調查相信涉及感情糾紛，傳同鄉登門始驚悉自己激動，到廚房取利刀向兩人施襲後逃走。警方在現場檢獲一把已斷開兩截的利刀，長約26厘米，刀身染血，橙色刀柄則與刀身分離，相信施襲男子在廚房取走後行兇。警方正通緝人士該名施襲的越南籍男子，身高約1.7-1.8米高，蓄短頭髮，年齡介乎35至40歲。劏房男女一度未能出示有效身份證明文件而涉嫌非法入境，但其後有說是循正常渠道持旅遊證件入境，但來港後，為何租住劏房則異於旅遊模式，尚待進一步了解。屯門劏房情侶被斬案件疑團Q： 受傷的越南籍男女為何持持旅遊證件入境，但租住劏房呢？Q： 兩人留港目的為何？是旅遊？探親？做黑工？抑或另有圖謀？Q： 兩人在港擬逗留多久呢？Q： 鄰居指案發前曾有人(傳是越籍男子)拍門，他是誰？事後行踪去向？Q： 既然受傷男女是情侶關係，拍門男子是否第三者？抑或真命天子？Q： 劏房男女被利刀刺傷，行兇者較大機會是拍門男子，其行凶動機為何？Q： 警方在兇案廚房檢獲一把染血利刀，是誰人持這疑似行凶利器呢？Q： 為何劏房情侶集兩人之力，也無法阻止受襲呢？資料來源：《成報》綜合整理,突發新聞,A03,1104,26,2,0,Pro-Beijing
180,Sing Tao Daily,2019-02-15,越黑工三角戀血案 裸女底褲男被追斬,情人節發生疑涉三角關係血腥斬人案！一對非法入境越南籍情侶，在屯門劏房「愛巢」談心歡度佳節，女方另一名男友突然闖入，見兩人赤裸牀上怒不可遏，衝往廚房提刀追斬兩人，連利刀亦斬至斷開兩截，男女事主中刀滿身鮮血逃命，分別跑至大廈前門和後門不支倒地，沿路血迹斑斑及遺下血掌印，全身赤裸女傷者恐身分敗露，哀求街坊勿報案；警方接訊趕至，將重傷男女送院救治，並追緝一名越南兇徒歸案。記者：歐陽偉光越南籍非法入境情侶，疑涉三角感情糾紛被斬傷，因非法入境亦被捕。受傷兩名男女均三十六歲，先後從越南偷渡抵港，淪為黑工，其中女事主在持有本港身分證的同鄉協助下，數個月前於屯門青山公路新墟段七十九至九十五號竹苑租住一個劏房。上址實用面積約四百平方呎，間有四個劏房，住客共用廚房和廁所。通緝同鄉兇徒消息稱，昨晨九時許，女事主與男友在劏房內溫存後休息，其間，女方另一名中年男友闖入，赫見兩人一個全裸、一個半裸躺在牀上，極為憤怒破口大罵，繼而衝往廚房取出三十厘米長利刀，追斬男女事主。由於事出突然，兩人來不及穿衣，其中男事主僅穿內褲，女事主全身赤裸，一起奪門逃命，沿路被兇徒追斬，分別中刀濺血，沿途血迹斑斑，門邊亦遺下血掌印，觸目驚心。女傷者逃至大廈正門倒地，下顎有五厘米長刀傷，流血不止，有街坊見狀欲上前幫手，她耍手哀求說不要報案；至於男傷者逃抵後門，坐於達仁坊，最終不支倒下昏迷，頭、肩膊及手臂受刀傷，一對手臂有八厘米長傷口，兩人由救護員送屯門醫院救治，目前情況穩定。兇徒趁混亂逃去無蹤，他用來斬人的利刀，刀柄和刀鋒斷開兩截棄於現場。據知，兩名傷者能操簡單廣東話，因是非法入境者，事後亦被警方拘捕，至於兇徒亦是越南籍，年約三十五至四十歲，身高一點七至一點八米，警方正追緝歸案。案件交屯門警區重案組接手跟進，列傷人及非法入境案處理。,港聞,A20,751,17,2,0,Pro-Beijing
