,Newspaper,Date,Title,Text,Category,Page_number,Political_camp,Raw_article_length,Title_length,Month,Racial_label,Sentiment,Filter
165,Oriental Daily News,2019-03-11,搗機竇破賭毒王國 拘267人包括南亞兵頭,驚雷一夜，黑幫「機竇」賭場王國一鋪擊潰！一個活躍西九龍及新界北的黑幫，窺準釣魚機賭檔每檔月賺可達百萬元，半年前建造「機竇王國」，除公然在持牌機舖掛鈎活動外，又狂開「地下機竇」搵食，更在場內販毒，成為該黑幫吸金「大水喉」。同時黑幫又操控南亞兵團，負責「睇場」及做「兌分仔」。警方O記接獲情報後，派臥底扮「爛賭鬼」搜證，至前日時機成熟動員逾七百人，一夜間狂冚三十八間「機竇」，共拘捕二百六十七人，包括約八十名南亞裔人，另外包括黑幫骨幹成員及「南亞兵頭」，相信已對該黑幫財路空前重創。元朗有大批涉案人士被蒙頭押走。（梁穎福攝）被捕者有80人為非華裔消息指，今次行動拘捕二百二十一男四十六女（十六至七十六歲），包括七十二男八女非華裔人，分別來自尼泊爾、印度、巴基斯坦、孟加拉、菲律賓、越南、印尼和埃及等，當中十八人持「行街紙」的免遣返聲請人士，另有七人持雙程證。據悉，O記於去年接獲線報指，一個黑幫在西九龍及新界北區，利用持牌遊戲機中心作掩飾，經營多個非法賭檔「吸金」，並聘請大批南亞兵團作員工，在場內販毒，以及提供吸食工具予客人「開餐」。由於情況極為嚴重，警方隨即展開代號「博勇」行動，派出多名臥底探員，假扮賭客混入場內搜證。檢獲多部老虎機釣魚機據悉，警方經過長時間搜證及調查後，鎖定該犯罪集團的「機竇王國」運作，於前日起展開突擊掃蕩行動。警方聯同入境處人員共七百人，前日深夜時分，兵分多路掩至超過四十四個地點，包括十二間持牌遊戲機中心、廿六個地下機竇賭場、一個毒品包裝及分銷中心，以及一個用作處理犯罪得益的場所，共拘捕二百六十七人，包括集團骨幹成員、遊戲機中心持牌及代理持牌人、毒品拆家、賭檔職員及賭客等，他們分別涉及「經營賭博場所」、「在賭博場所內賭博」、「販毒」、「串謀販毒」、「自稱三合會會員」等三百多項罪行，部分被捕疑犯有黑幫背景。行動中，警方檢獲四百四十部遊機戲，包括一百一十五部釣魚機、二百九十部老虎機、七部輪盤機、廿三部積分增值機、五百八十四張積分卡、九十萬元現金、數簿，以及總值十五萬元的毒品，包括冰、可卡因、大麻精及大麻花等，同時搜獲三個電子磅及一批毒品吸食及包裝工具。警方調查顯示，部分被捕南亞裔人是集團主腦，消息稱，其中一名巴籍疑犯，更是活躍於佐敦的南亞兵團「兵頭」。假難民做賭場「兌分仔」警方表示，由於免遣返聲請者不能在港工作，故犯罪集團會覷準機會，前往有較多南亞裔人聚集地方，了解他們的經濟狀況，同時以提供「就業機會」哄騙持「行街紙」南亞人，在機竇賭場做「兌分仔」，負責與場內客人兌換積分及現金，期間，他們會抽取百分之十至廿的佣金，一般「兌分仔」每月底薪約四千元，加上額外佣金，佣金視乎生意額而定，部分會有超過一萬元。由於「兌分仔」收入可觀，因此不少南亞裔人為爭奪「荀工」不惜與同鄉反面爆內訌廝殺。警方相信今次行動已成功瓦解運作半年、由黑幫操控的非法賭博及販毒集團。有指，每個賭檔估計平均月賺百萬元，料對黑幫重要收入來源重創。香港社會工作者總工會會長倫智偉表示，社工界關注青少年透過網上平台玩釣魚機，同樣可將遊戲贏得的積分兌換成獎金，變相賭博，情況令人憂慮。他建議港府加強教育，防止青少年沉迷賭博，也應檢討現時對於遊戲機中心的管制是否足夠。,港聞,A02,Pro-Beijing,1331,20,3,1,0,0
170,Oriental Daily News,2019-03-13,正論：縱容海霸難抵賴 香港幸有第四權,過去一年多來，東方報業鍥而不捨地跟進踢爆海事處縱容霸海牟利醜聞，當局裝模作樣調查了一番卻「查無實據」。然而，假的真不了，真的假不了，申訴專員公署昨日發表主動調查報告，狠批海事處監管不力，變相以珍貴公共資源補貼遊艇會出租泊位生意，不僅證實東方的報道，狠打了海事處的臉，也將當局官官相護的醜陋暴露於天下。申訴專員劉燕卿即將離任，針對海事處的調查應該是她任內的最後一擊。調查顯示，海事處轄下目前有四十三個私人繫泊設備區，其中四十一個經已爆滿，而在不足兩千個私人繫泊位中，四個遊艇會佔有八百六十四個，比例高達四成五。泊位供不應求，市民須先加入遊艇會才能使用有關設備，而入會費動輒高達十萬元，每次使用泊位還須另外付費，以銅鑼灣避風塘為例，長度十一米的船隻每月泊租三千多元，比海事處收取每月六百七十元的行政費用，高出逾四倍，令人咋舌。另有船廠出租泊位圖利，亦涉嫌違反租約條款。申訴署的調查結果，釐清了海事處長年渾渾噩噩、縱容霸海圖利的真相：一方面，違規船廠將船排分租以圖利；另一方面，遊艇會向海事處繳交象徵性行政費，再向泊位使用者獅子開大口。可以說，海事處是大慷公共資源之慨，養肥了違規船廠及遊艇會。事實上，遊艇會及部分船廠利用公共資源牟利早已是公開的秘密，市民早有舉報，傳媒一再踢爆，立法會議員表達關注，海事處沒有理由不知情。不近情者多藏奸，海事處長期縱容海霸，不能不令人質疑是否存在腐敗問題。同樣令人無法理解的是，上月底發展局回覆議員查詢時，聲言地政總署在事件曝光後曾四度聯手海事處展開突擊調查及實地觀察，但十六幅相關用地中，九家船廠未有發現違規出租的問題，另外七家「仍在整理調查結果」，也就是查了一年卻沒有任何結果。這就十分奇怪了，申訴專員一查就發現蛛絲馬迹，發展局及海事處調查這麼久卻沒有發現任何違規問題，這是官老爺有眼無珠，走馬觀花，還是官官相護，為掩蓋海事處的失職而故意「臭屎密冚」呢？鑑於港府能瞞則瞞、能騙則騙的一貫作風，後者的可能性更大。不管怎麼說，申訴專員的調查結果與東方報業的報道契合，揭開了海事處胡混度日的冰山一角。公共資源不應淪為私人牟利的提款機，廉政公署應接力跟進，揭開箇中究竟，將見不得人的勾當攤到陽光之下，還市民一個公道。說起來可悲，香港「三權分立」早已淪為「三權皆亂」，惟有作為第四權的新聞傳媒仍在發揮為民喉舌的重任，無論是霸海還是霸地；無論是南亞假難民禍港殃民，還是黑幫製毒販毒，令香港淪為毒品中轉站，皆見證新聞自由的威力。美國第三任總統杰弗遜曾言：「寧要沒有政府的傳媒，不要沒有傳媒的政府」，的確是至理名言！,港聞,A02,Pro-Beijing,1066,18,3,1,0,1
174,Oriental Daily News,2019-03-18,聲請漢偷金莎 市民職員合力擒賊,【本報訊】南亞假難民已成香港大患！元朗區兩日兩宗罪案，前日一名聲請南亞漢，在超市內偷走總值逾二百八十多元「金莎」，女職員發覺窮追並獲熱心市民協助，終將疑犯撳地人贓並獲，被警方拘捕。昨日三名巴籍聲請漢，在球場飲酒「吹水」時，疑因事故反面衝突，三人分別持玻璃樽及膠櫈作武器追逐打鬥，警方掩至兩人被捕一人走甩，目前正調查內訌原因。有網民更擔心治安惡劣指，「南亞仔真係好狼死，用毒瘤嚟形容真係冇錯！」南亞賊被按地制服。（互聯網圖片）元朗廣場一間超級市場，前日下午五時許，一名南亞漢扮顧客在貨架上，偷取四盒總價值二百八十元的金莎朱古力，惟被女職員發現喝止，南亞賊隨即奪門逃走，她追出店外並大叫：「偷嘢！」期間，一名熱心市民聞訊協助追截，跑至商場附近一間食肆外，終合力將疑匪按地制服。其後，警員接報到場調查，起回有關贓物，以涉嫌店舖盜竊罪，將該名持行街紙南亞漢（卅一歲）拘捕。網民：叫毒瘤真係冇錯據目睹追賊姓馮網民稱，「當時聽到有位女士大聲叫搶嘢，之後我跑出去，見個南亞裔人士喺度跑，及後見到兩名男子就將佢制服。」馮更拍下追賊過程，並上載到社交網，隨即獲不少網民留言讚好，「好彩香港仲有好心人」、「香港人都唔幫就真係玩完，香港好在有你」。另外有網民感覺治安日漸變差，「五點幾太陽都未落山，啲南亞人愈嚟愈猖狂 」、「南亞仔真係好狼死，用毒瘤嚟形容真係冇錯」。另三巴漢互毆 兩被捕另外，昨午十二時許，一批南亞裔大漢在元朗擊壤路，公然霸佔五人足球場對開行人路，大吃大喝「吹水」。期間，兩名持行街紙的巴基斯坦籍男子，與一名同鄉疑因事故發生爭執。三人初則口角，繼而各自擸起武器打鬥，有人以玻璃酒樽作武器，亦有人檢起附近膠櫈及雜物還擊。警方接報趕至，截獲兩名受傷的巴基斯坦籍男子，另一人則逃去無蹤，警方經初步調查後，兩名巴籍漢（卅四歲及卅一歲），均涉嫌公眾地方打架被捕，其後由救護車送院治理。,港聞,A02,Pro-Beijing,784,15,3,1,0,0
182,Oriental Daily News,2019-03-23,功夫茶：香江惡鼠為患 皆因廢官懶散,查撐篤撐查篤撐，今時今日香港地「無能廢官懶懶散散，大膽惡鼠得得戚戚」，搞到黑白顛倒，主客易位，各位看官，又係時候擸齊鼠餌鼠夾鼠籠，招呼今日主角，食環署、地政總署同房署一班廢柴嘞！話說牛頭角彩霞邨附近山坡近日被鼠群攻陷，幾百隻體形大過貓嘅老鼠，聯群結隊闖入民居及鄰近寺廟覓食，市民怨聲載道，正式係「神憎人怨」。本報記者去現場視察，唔使一分鐘亦唔使食物引誘，就有十幾隻喺地洞出出入入，十足十玩緊「扑傻瓜」一樣，真正演繹何謂「官倉老鼠大如斗，見人開倉亦不走」。最抵死嘅係，鼠群對住記者唔單止唔走，仲識得搔首弄姿擺甫士望鏡頭，唔到你唔服。有地區人士反映，最近幾個月收到大批街坊投訴老鼠造成滋擾，估計因為之前颱風山竹襲港後，山上仍有塌樹未清理，變相為老鼠提供現成洞穴。搞到一鑊泡，各衙門卸膊唯恐不及，食環署求其叫屋邨物管公司放老鼠藥就當交差，又強調彩霞邨係已出售屋邨，有咩事問番業主立案法團，總之關人隱士四隻大字。至於地政總署，山竹走咗半年有多，成個香港仲係塌樹處處，署長合該提頭來見，點知官老爺借咗聾耳陳隻耳，連敷衍公眾都嫌費事，你話唔㷫就假。當然喇，講到養鼠遺患，除咗食環同地政，房署一樣唔可以輕輕放過。舊年房署一共捉到八百一十隻老鼠，平均每條邨唔夠三十隻，同街坊用土法滅鼠效率差唔多，簡直吹脹。鬼咩，家陣科技日新月異，外國一早用二氧化碳滅鼠，港產廢官依然獨沽一味老鼠藥，再加上鼠患指數有水分，搞到鼠竇遍地開花，中環鬧市、高鐵車站、郵輪碼頭……統統淪為老鼠樂園，蔓延之快，為禍之烈，絕對同假難民兵團有得揮！咪話唔提醒，香港呢排黑過墨斗，乜嘢衰嘢都有可能發生，連麻疹都有死灰復燃之勢，萬一再爆鼠傳人戊型肝炎，香港分分鐘玩完都似。專家教路防鼠三招，其中之一係等老鼠食完老鼠藥，藥力發作後再將洞穴封起。計功夫茶話齋，街坊們不妨效法大禹治水「以疏代堵」嘅古訓，將老鼠藥放喺鄰近嘅食環、地政同房署辦公室，冤有頭債有主，鼠患皆由官禍起，市民唔上門燒佢哋老鼠咪算畀面囉！呢個世界就係咁嘅嘞，老鼠橫行無忌，啲貓唔係懶到出汁，就肯定係病入膏肓。一場颱風將大樹連根拔起，鼠群無所遁形，正如香港一樣，表面海晏河清，實則烏煙瘴氣，一揭開塊地氈，底下原來滿布牛鬼蛇神、魑魅魍魎，所以話香江之敗，由官邪也，就係咁解。,港聞,A22,Pro-Beijing,941,17,3,,0,1
195,Sing Tao Daily,2019-03-25,印度漢涉殺同鄉今提堂,尖沙嘴一個假難民「收容中心」，上周發生兇殺案，涉案被捕的印度籍疑兇已被落案起訴，今日提堂；有街坊指曾見該中心住客酗酒，並在街頭售賣翻版光碟及冒牌貨，懷疑有人因財失義及醉酒，釀出命案。涉案印度籍男子四十四歲，被控一項謀殺罪，今日在九龍城裁判法院提堂，他與同為印度籍的五十歲死者，來港後申請免遣返聲請，均持行街紙留港，同住在海防道五十號一個專門出租給「聲請漢」的劏房「收容中心」。兩人住碌架牀上下格據悉，該劏房約三百呎，放有五張上下格牀，可容納十人居住，每人月租一千八百元，租金由香港社會服務社提供；其中死者睡在其中一張碌架牀的下格，疑兇則住上格。該單位昨已解封，可見死者牀上留有衣服及少量雜物，但沒有牀褥，疑兇的牀則十分整齊。有街坊稱，經常見該單位住客酗酒，並到區內街頭擺賣，包括出售翻版光碟及冒牌皮具手袋等，但他們不會與街坊打招呼，過去曾聽到上址住客為金錢爭吵，估計今次亦為財及醉酒搞出人命。記者  林思明####被殺印度漢住劏房碌架牀下格，疑兇住上格。林思明攝,港聞,A17,Pro-Beijing,431,10,3,1,0,0
207,Wen Wei Po,2019-03-28,為私利昧良心  反對派阻修例 告洋狀嚇市民煽遊行  各界嚴厲譴責,香港文匯報訊（記者 鄭治祖）反對派為阻撓政府修訂《逃犯條例》，堵塞法律漏洞，一方面有前政務司司長陳方安生等人向美國唱衰有關修訂建議，另一方面在港的反對派則發起在周日遊行反修例，繼續抹黑。多名政界與法律界人士昨日接受香港文匯報訪問時批評，反對派無視條例中對人權的保障、法庭的把關，勾結外國勢力干預香港事務，又向社會公眾散播恐慌，最終只會包庇嚴重犯罪分子，令他們毋須接受法律制裁。他們斥反對派以政治凌駕公義，埋沒良心，阻撓修例通過，應予以嚴厲譴責。在美國繼續唱衰香港的陳方安生，昨日聯同公民黨立法會議員郭榮鏗及「專業議政」立法會議員莫乃光與美國眾議院議長佩洛西會面。三人聲言，雖然特區政府日前宣佈剔除9項可移交逃犯的罪類，但「仍不能釋除疑慮」，揚言事件核心是「不能接受有在香港境內的人士被送往內地受審」，要求美國政界「發聲」云云。此外，一眾在港的反對派立法會議員昨日開記者會，呼籲市民周日上街反對修例。「民主派會議」召集人毛孟靜稱，修例是拆了香港與內地司法制度間的「防火牆」，令香港「中門大開」，並揚言「不排除以任何手段」、「用盡一切可行方法」抵抗修例云云。無視引渡門檻高對於反對派的歪理，民建聯副主席陳克勤指，特區政府一直堅守司法獨立，法庭更扮演重要的把關角色，有多重人權保障，對任何個案都嚴格處理，根本不存在反對派所言「任意批出申請」的情況。他並指出，香港有萬多名「假難民」滯留，還糾纏了10年多時間，就反映了政府以至法庭的嚴謹。讓港淪「逃犯天堂」至於反對派聲言逃犯被移交內地會影響「人身安全」等，陳克勤批評反對派「唔睇文件」，指出政府已列明在提出移交時，請求方須承諾只審判提出移交的案件，不能臨時加插其他內容。反對派只盲目反對，令人感到完全以政治掛帥，更有偏袒重犯之嫌。工聯會立法會議員何啟明批評，反對派一味地抹黑內地司法制度，企圖引起市民恐慌，以附和他們反對修例。他指出，修例是要堵塞法律漏洞，讓所有與香港沒有簽訂協議的國家和地區，當發生嚴重罪行時，均可以透過個案形式，令案件得到公平審訊，讓公義得以彰顯。他反問，反對派為何要公然包庇重犯，奮力將香港變成「逃犯天堂」。何啟明更指出，工聯會多年來協助在內地的港人，經驗豐富，並深深感受到內地法制進步不少，反對派在不明所以的情況下，便抹黑內地，實在是居心叵測。香港法學交流基金會秘書長、全國港澳研究會會員、中國人民大學法學博士傅健慈批評，陳方安生等人到美國唱衰香港，煽動外國勢力違法干預香港內部事務，完全不恰當，侵犯危害中國的主權，也破壞了「一國兩制」、「港人治港」、高度自治，以及損害公義法治和香港的福祉。凌駕公義庇罪犯他指，反對派與外國勢力裡應外合，重施故伎，危言聳聽，企圖包庇殺人、強姦、拐帶等嚴重犯罪分子，令他們毋須接受法律制裁。他批評反對派以政治凌駕公義，包庇違法者，埋沒良心。傅健慈強調，《逃犯條例》不會對人身安全造成影響，只會令違法者須接受法律懲治，再加上移交與否由香港法庭把關，絕對合情、合理、合法。反對派為了撈取政治本錢，罔顧公義法治，誤導全港市民，阻撓修例通過，應予以嚴厲譴責。####■陳方安生等繼續在美國抹黑修例。莫乃光fb圖片■反對派發起在周日遊行反對修例。范國威fb圖片,文匯要聞,A03,Pro-Beijing,1324,32,3,,0,1
222,Oriental Daily News,2019-04-04,5年逾9假難民被遣返,【本報訊】假難民多年來濫用免遣返聲請機制拖延留港。入境處在二○一四至去年的五年間，共遣返九千一百卅七名聲請人，當中四千五百九十三人聲請被拒，其餘為撤回聲請或聲請無法跟進的人士。單在去年，入境處已遣返一千八百五十九名聲請被拒人士，較前年大增三成九，更較一六年大增一點九倍，而被遣者最多是越南籍，五年間共一千一百五十一名聲請被拒越南人被遣返，單計去年已有七百八十人，較前年增一點六倍，更較一六年大增十七點六倍。入境處近年不只一次安排包機遣返越南籍人士，當中不少是聲請被拒的人。研究修例  確保合法合理羈留其餘被遣返的聲請被拒人士，主要國籍依次為印度、巴基斯坦、印尼及孟加拉，五年分別有八百四十七人、八百一十六人、五百五十人及三百四十一人被遣返。保安局書面回覆立法會議員吳永嘉提問時指，截至去年年底，入境處須按統一審核機制處理的聲請，涉及逾二萬二千名聲請人，當中約四成已被遣返。至於設立收容中心或禁閉營，保安局指涉及法律、基建及人手等事宜，政府一直積極考慮所有合法、可行和有效做法，有關建議問題複雜，須審慎及全面研究；當局正研究修例，確保入境處在審核及遣返程序中的不同階段，均能合法及合理羈留聲請人。政府較早前提出修訂《入境條例》，堵塞現有漏洞，目標是在今年上半年向立法會提交條例草案。其中一項建議是將提交聲請表格的法定時限縮短，當局指如落實，預計處理每宗聲請時間可減至最快約五周。,港聞,A16,Pro-Beijing,588,10,4,1,0,0
223,Oriental Daily News,2019-04-04,住宅闢毒窟兩巴籍聲請漢被拘,【本報訊】巴籍假難民住宅販毒，警上門搜查斷正。深水埗警區反三合會行動接獲線報，指有南亞裔人士進行販毒勾當，經深入調查搜證後，昨午四時展開代號「犁庭掃穴」反毒品行動，突擊搜查長沙灣道二二七號一個目標單位，檢獲三克大麻精、卅二克大麻花、五十克霹靂可卡因及廿一克冰毒，總市值約七萬六千元。警方檢獲的毒品。行動中，警方在單位內拘捕兩名巴基斯坦籍男子（廿八歲及卅二歲），同涉嫌販毒。他們是以免遣返聲請獲發「行街紙」留港，警方相信有人將住所闢作毒窟，將會進一步追查毒品來源及分銷途徑。,港聞,A16,Pro-Beijing,236,13,4,1,0,0
228,Oriental Daily News,2019-04-05,筆下風雲：司法亂 治安劣 香江邪,國之將亡，必有妖孽。現在的香港正是一片妖孽為患的模樣，南亞兵團作亂無日無之；司法不是伸張正義，反而烏龍百出；街頭搶劫、血腥斬人此起彼伏。香港過去的法治之區、安全城市美名不再，有人說香港撞邪，可謂一針見血。說起南亞兵團，臭名昭著的深水埗通州街橋底南亞村過去曾被揭發有黑幫開壇招收南亞兵，涉事黑幫昨日被判囚三年兩個月，司法看似主持公道，被告罪有應得，但也是同一日，司法被揭出的亂象更加駭人。協和小學教師洩露小一面試試題一案，律政司被法官斥為錯誤理解「不誠實取用電腦」條文，律政司不服上訴，昨日被終院裁定終極敗訴，判詞寫明「不誠實取用電腦罪中的取用一詞……與使用自己設備的情況格格不相入」，律政司卻慣性將此例視為「百搭」，連手機偷拍都當成適用，擺明胡混，怎能不自取其辱。更荒謬的是，旺暴案早前審結，多名被告被判罪名不成立已令人瞠目結舌，意想不到陪審團退庭商議期間，竟發生聞所未聞的擅帶電子器材進休息室觀看電影及陪審員結婚片段事件，到底這些人是來審案還是來聯誼自娛，令人質疑。在這樣的情況下，司法判決還有何質素可言？這還不止，本港瘋狂斬人案一浪接一浪，年初有太子道東攔車斬人，早前又有油麻地佳宝超市經理被斬，本月初則有一對夫婦在上水被匪徒持刀伏擊，男事主被斬傷復被搶去巨款；又是同一日，九龍塘窩打老道兩名男子乘坐的士期間遭私家車夾擊，三名蒙面南亞刀匪強行打開的士車門，將事主拖出來砍殺，簡直無法無天。還未論及此前大量涉及南亞兵團充當刀手的暴力案件，港府猶東郭先生上身，對假難民貼錢貼物資，天下間最可笑之事，莫過於此。香江之敗，由官邪也。香港危機四伏，法治不再，難道港人日後要戴頭盔上街自保？傳媒人程萬里,龍門陣,A24,Pro-Beijing,697,16,4,1,0,0
234,Oriental Daily News,2019-04-09,功夫茶：警署門口也斬人 香港實在係撞邪,一個地方嘅興衰總係有樣睇，凡係邪氣盛、正氣衰嘅，都唔慌會有運行。家陣香港地黑社會尋仇斬人，居然斬到去警署門口，完全當班差佬透明，十足十攞正牌咁款，你話香港唔係撞邪，搵鬼信咩！一名八十後紋身壯漢前晚喺將軍澳商場泊車，另一輛七人車突然火速殺到，一名黑帽口罩男撲出嚟，不由分說揮刀狂斬，懷疑係黑社會尋仇所為。即係咁，香港地黑社會氣燄囂張，當街當巷劈友早就唔係新聞，好似早排九龍塘窩打老道亦發生同類劈友案，兩名男子被三名東南亞刀匪從的士拉出狂斬，其中一人當場浴血重傷，但今次呢單畸士特別之處在於，事發地點同將軍澳警署僅百米之遙，約莫街頭街尾距離，事主負傷突圍跑去求救，可惜走到門口不支倒地，而兇徒則施施然跳返上賊車逃之夭夭。喂，兇徒咁多地方唔落手，偏偏選擇喺太歲頭上動土，畫公仔幾乎畫到出腸︰第一係警告目標人物，呢鑊嘢天王老子都保你唔住；第二係向差佬示威，咪以為喺你地頭我就唔敢發圍，有本事出嚟拉我吖，笨！講到呢度，大家可能諗起多年前黑社會頭子一句狂言，「呢度十二點鐘後我話事。」事實係黑幫分子日光日白一樣唔放警方在眼內。尋日朝頭早反黑組探員喺尖沙咀山林道進行反罪惡巡邏，期間十多名惡漢竟然叫囂起哄，有人粗口橫飛指口篤鼻鬧阿Sir，有人甚至企圖搶警棍，簡直無法無天。話時話，本港治安狀況近年每況愈下，特別係斬人重案更加係無日無之，當中除咗黑幫內訌，更多係謀財害命。早排一對夫婦喺北區遭刀手伏擊搶錢，連手都斬甩埋，講起都得人驚。曾經嘅「最安全城市」，早已一去不復返。當然喇，講到治安毒瘤，除咗黑社會，不得不提南亞假難民兵團。佢哋喺各區安營紮寨，姦淫擄掠無惡不作，搞到市民有得震冇得瞓唔在講，更令人憂慮嘅係，南亞兵團拍住本地黑幫一齊上，充當犯罪急先鋒。係人都知，黑社會南亞幫兩毒合流，始作俑者正正係人稱「南亞兵團之父」嘅黑幫前坐館泰國大毒梟「上海仔」郭永鴻，而「上海仔」獲警方保護傘力撐，得以提早着草海外，繼續遙控販毒集團，更加係公開嘅秘密。犯罪分子話唔定覺得「警黑一家親」，大家「同氣連枝」，誰也不比誰高尚，使乜畀面你吖。兵驚賊，貓怕鼠，正正就係成個香港黑白顛倒、是非混淆嘅縮影。古人曰：上不恤理，則惡政行而邪氣作。香港撞邪，諸事不吉，連港鐵列車都可以撞車，飛機引擎都可以着火，除咗係上天示警，更加係「上不恤理」，倒行逆施惹的人禍。,港聞,A18,Pro-Beijing,961,19,4,1,0,0
244,Oriental Daily News,2019-04-12,非洲假難民亂拳殺妻,持「行街紙」留港的非洲假難民，前日早上在租住的土瓜灣劏房，疑因感情及金錢問題，與菲籍妻子口角爭執，有人盛怒下「赤手空拳」監生毆斃妻子，伴屍逾十小時後，同晚到警署自首。警方趕至破門進入劏房，發現女事主伏屍床上，非洲漢涉嫌謀殺被捕。死者頭部多處受傷，死因有待剖屍確定，案件交重案組跟進，正進一步調查事件起因。仵工把遺體舁送殮房。（沈厚錚攝）涉案疑犯卅七歲，非洲岡比亞籍，在二○一二年抵港後，即提出「酷刑聲請」獲發行街紙留港，一直無業。女死者四十歲，菲律賓籍，持有香港身份證。伴屍10小時往警署自首據了解，女事主多年前來港，曾任職家庭傭工，其後沒有工作。女事主與疑犯相識一段時間後，約一年前租住土瓜灣鵬程街十四號一間劏房。消息指出，前日早上，兩人疑事故在劏房住所爆發激烈爭執，雙方互不相讓繼而動武，有人怒火中燒下情緒失控，女事主頭部遭狂毆，未幾昏迷倒臥床上，最後氣絕身亡。非洲漢未有即時報警，留在劏房伴屍逾十小時後，最後因心中愧疚，同日晚上九時許前往黃大仙警署自首。警方接報大為緊張，即時通知九龍城分區警員到鵬程街劏房查看，惟警員到場時發現大門上鎖，遂召來消防員協助破門，進入單位後發現一名女事主倒臥床上，經救護員檢查後，證實她已經死亡。警方封鎖現場調查，死者頭、手有多處明顯傷痕，經法醫初步檢驗後，估計女事主死去約十二至二十四小時，死因有待剖屍及進行毒理化驗確定。經初步調查後，警方把案件列作謀殺，拘捕自首的岡比亞籍男子，同時向鄰居了解疑犯與死者的關係及感情狀況，案發前有否聽到爭吵聲，初步相信案發前疑犯與妻子曾經因為感情及金錢問題爭執，案件交由九龍城警區重案組跟進，正進一步調查事件起因。女死者遺體其後由仵工舁送殮房。鄰居恐南亞人搞亂治安至昨晨涉案劏房仍未解封，有警員在場看守。據一名姓黃學生表示，居住上址大廈約一年，確實見到不少南亞裔或非洲裔人士出入，不諱言擔心治安惡化。另一名居住兩年的金女士，坦言感覺治安一般，由於劏房租金平，因此多了南亞裔人士入住，希望不會令治安變差。,港聞,A16,Pro-Beijing,837,9,4,1,0,0
253,Oriental Daily News,2019-04-14,警追截不力去年檢獲真槍增至2支,【本報訊】本港搜獲非法真槍數目劇增，學者質疑警方「執法不力、無能」，恐怕開槍案陸續發生。根據警方數字過去三年本港共有八宗涉及真槍案件，檢獲廿五支真槍，當中去年就有廿支。其中去年七月，警方在深水埗「南亞村」對開，在有黑幫背景男子身上，檢獲一支自製霰彈槍及六發子彈。警方去年七月在通州街附近公園，拘捕一名男子起出霰彈槍。香港理工大學專業及持續教育學院講師陳偉強指，檢獲的真槍數字有上升趨勢，或與警方執法不力有關。陳稱，不法分子之所以夠膽無視現行法例，肆意將槍械運入本港，其中一個主因便是知道警方無能，「好似今次咁，佢哋（警察）咩都唔知，咩情報都冇收過，好似無牙老虎咁！」另一邊廂，槍擊案發生在人來人往的鬧市，但警方居然事隔一日仍未能將槍手拘捕，徹底反映警方的無能。陳認為事件或許只是冰山一角，尚有更多真槍藏於本港不同角落，當中相信部分落入南亞假難民手中，若警方仍然無能如斯，則開槍事件有機會不斷重演，本港治安堪虞。議員促徹查槍枝來源立法會保安事務委員會委員潘兆平促請當局徹查槍枝的來源，並全面審視現行監管制度，如發現存在不足之處便應予改善。同時間，由於不少人會在互聯網結識槍械賣家，並將槍械組件分拆寄港，他認為相關部門除了要加強截查可疑郵包外，亦應嘗試堵截網上槍械的買賣行為，防止槍械流入。立法會議員兼深水埗區議員鄭泳舜亦坦言十分關注事件，形容：「呢啲槍擊事件真係一單都嫌多！」尤其深水埗人流眾多，若再發生槍擊案，會造成恐慌，甚至傷及無辜。他要求當局增派警力巡邏，同時檢視及加強現時槍械管制，以堵截槍械非法流入源頭。有貨輪船員走私到港據了解，不法分子要從境外獲取槍械，多會要求賣家將槍械組件拆件，再以速遞或郵寄方式送港；或以走私方式，將槍械組件偷混入行李當中運返本港。部分甚至會利用歐美等風險評級較低的大型貨輪，透過收買船員海運槍械組件到港。由於海關或香港郵政難以抽查每一件寄港郵品，故不少均成功衝關。,港聞,A02,Pro-Beijing,799,15,4,1,0,0
